"date","station_num","pm25"
"20150601.tif",1,5.26646852493286
"20150601.tif",2,4.95053601264954
"20150601.tif",3,3.77810454368591
"20150601.tif",4,3.85765707492828
"20150601.tif",5,3.44573366641998
"20150601.tif",6,4.95053601264954
"20150601.tif",7,4.95053601264954
"20150601.tif",8,4.78937196731567
"20150601.tif",9,4.76991701126099
"20150601.tif",10,5.26646852493286
"20150601.tif",11,6.13084769248962
"20150601.tif",12,6.38129901885986
"20150601.tif",13,7.00534105300903
"20150601.tif",14,3.76369392871857
"20150601.tif",15,5.27265214920044
"20150601.tif",16,4.59259843826294
"20150601.tif",17,5.98678374290466
"20150601.tif",18,4.51120257377625
"20150601.tif",19,5.73068141937256
"20150601.tif",20,4.8819408416748
"20150601.tif",21,4.59259843826294
"20150601.tif",22,9.88857078552246
"20150601.tif",23,6.74019432067871
"20150601.tif",24,5.85225701332092
"20150601.tif",25,4.96949863433838
"20150601.tif",26,5.46950006484985
"20150601.tif",27,6.90942287445068
"20150601.tif",28,4.59259843826294
"20150601.tif",29,4.37867069244385
"20150601.tif",30,4.05528211593628
"20150601.tif",31,4.5534707903862
"20150601.tif",32,3.663802921772
"20150601.tif",33,6.29432392120361
"20150601.tif",34,4.59259843826294
"20150601.tif",35,5.32770109176636
"20150601.tif",36,7.00534105300903
"20150601.tif",37,5.4287805557251
"20150601.tif",1,5.26646852493286
"20150601.tif",2,4.95053601264954
"20150601.tif",3,3.77810454368591
"20150601.tif",4,3.85765707492828
"20150601.tif",5,3.44573366641998
"20150601.tif",6,4.95053601264954
"20150601.tif",7,4.95053601264954
"20150601.tif",8,4.78937196731567
"20150601.tif",9,4.76991701126099
"20150601.tif",10,5.26646852493286
"20150601.tif",11,6.13084769248962
"20150601.tif",12,6.38129901885986
"20150601.tif",13,7.00534105300903
"20150601.tif",14,3.76369392871857
"20150601.tif",15,5.27265214920044
"20150601.tif",16,4.59259843826294
"20150601.tif",17,5.98678374290466
"20150601.tif",18,4.51120257377625
"20150601.tif",19,5.73068141937256
"20150601.tif",20,4.8819408416748
"20150601.tif",21,4.59259843826294
"20150601.tif",22,9.88857078552246
"20150601.tif",23,6.74019432067871
"20150601.tif",24,5.85225701332092
"20150601.tif",25,4.96949863433838
"20150601.tif",26,5.46950006484985
"20150601.tif",27,6.90942287445068
"20150601.tif",28,4.59259843826294
"20150601.tif",29,4.37867069244385
"20150601.tif",30,4.05528211593628
"20150601.tif",31,4.5534707903862
"20150601.tif",32,3.663802921772
"20150601.tif",33,6.29432392120361
"20150601.tif",34,4.59259843826294
"20150601.tif",35,5.32770109176636
"20150601.tif",36,7.00534105300903
"20150601.tif",37,5.4287805557251
"20150601.tif",1,5.26646852493286
"20150601.tif",2,4.95053601264954
"20150601.tif",3,3.77810454368591
"20150601.tif",4,3.85765707492828
"20150601.tif",5,3.44573366641998
"20150601.tif",6,4.95053601264954
"20150601.tif",7,4.95053601264954
"20150601.tif",8,4.78937196731567
"20150601.tif",9,4.76991701126099
"20150601.tif",10,5.26646852493286
"20150601.tif",11,6.13084769248962
"20150601.tif",12,6.38129901885986
"20150601.tif",13,7.00534105300903
"20150601.tif",14,3.76369392871857
"20150601.tif",15,5.27265214920044
"20150601.tif",16,4.59259843826294
"20150601.tif",17,5.98678374290466
"20150601.tif",18,4.51120257377625
"20150601.tif",19,5.73068141937256
"20150601.tif",20,4.8819408416748
"20150601.tif",21,4.59259843826294
"20150601.tif",22,9.88857078552246
"20150601.tif",23,6.74019432067871
"20150601.tif",24,5.85225701332092
"20150601.tif",25,4.96949863433838
"20150601.tif",26,5.46950006484985
"20150601.tif",27,6.90942287445068
"20150601.tif",28,4.59259843826294
"20150601.tif",29,4.37867069244385
"20150601.tif",30,4.05528211593628
"20150601.tif",31,4.5534707903862
"20150601.tif",32,3.663802921772
"20150601.tif",33,6.29432392120361
"20150601.tif",34,4.59259843826294
"20150601.tif",35,5.32770109176636
"20150601.tif",36,7.00534105300903
"20150601.tif",37,5.4287805557251
"20150601.tif",1,5.26646852493286
"20150601.tif",2,4.95053601264954
"20150601.tif",3,3.77810454368591
"20150601.tif",4,3.85765707492828
"20150601.tif",5,3.44573366641998
"20150601.tif",6,4.95053601264954
"20150601.tif",7,4.95053601264954
"20150601.tif",8,4.78937196731567
"20150601.tif",9,4.76991701126099
"20150601.tif",10,5.26646852493286
"20150601.tif",11,6.13084769248962
"20150601.tif",12,6.38129901885986
"20150601.tif",13,7.00534105300903
"20150601.tif",14,3.76369392871857
"20150601.tif",15,5.27265214920044
"20150601.tif",16,4.59259843826294
"20150601.tif",17,5.98678374290466
"20150601.tif",18,4.51120257377625
"20150601.tif",19,5.73068141937256
"20150601.tif",20,4.8819408416748
"20150601.tif",21,4.59259843826294
"20150601.tif",22,9.88857078552246
"20150601.tif",23,6.74019432067871
"20150601.tif",24,5.85225701332092
"20150601.tif",25,4.96949863433838
"20150601.tif",26,5.46950006484985
"20150601.tif",27,6.90942287445068
"20150601.tif",28,4.59259843826294
"20150601.tif",29,4.37867069244385
"20150601.tif",30,4.05528211593628
"20150601.tif",31,4.5534707903862
"20150601.tif",32,3.663802921772
"20150601.tif",33,6.29432392120361
"20150601.tif",34,4.59259843826294
"20150601.tif",35,5.32770109176636
"20150601.tif",36,7.00534105300903
"20150601.tif",37,5.4287805557251
"20150601.tif",1,5.26646852493286
"20150601.tif",2,4.95053601264954
"20150601.tif",3,3.77810454368591
"20150601.tif",4,3.85765707492828
"20150601.tif",5,3.44573366641998
"20150601.tif",6,4.95053601264954
"20150601.tif",7,4.95053601264954
"20150601.tif",8,4.78937196731567
"20150601.tif",9,4.76991701126099
"20150601.tif",10,5.26646852493286
"20150601.tif",11,6.13084769248962
"20150601.tif",12,6.38129901885986
"20150601.tif",13,7.00534105300903
"20150601.tif",14,3.76369392871857
"20150601.tif",15,5.27265214920044
"20150601.tif",16,4.59259843826294
"20150601.tif",17,5.98678374290466
"20150601.tif",18,4.51120257377625
"20150601.tif",19,5.73068141937256
"20150601.tif",20,4.8819408416748
"20150601.tif",21,4.59259843826294
"20150601.tif",22,9.88857078552246
"20150601.tif",23,6.74019432067871
"20150601.tif",24,5.85225701332092
"20150601.tif",25,4.96949863433838
"20150601.tif",26,5.46950006484985
"20150601.tif",27,6.90942287445068
"20150601.tif",28,4.59259843826294
"20150601.tif",29,4.37867069244385
"20150601.tif",30,4.05528211593628
"20150601.tif",31,4.5534707903862
"20150601.tif",32,3.663802921772
"20150601.tif",33,6.29432392120361
"20150601.tif",34,4.59259843826294
"20150601.tif",35,5.32770109176636
"20150601.tif",36,7.00534105300903
"20150601.tif",37,5.4287805557251
"20150601.tif",1,5.26646852493286
"20150601.tif",2,4.95053601264954
"20150601.tif",3,3.77810454368591
"20150601.tif",4,3.85765707492828
"20150601.tif",5,3.44573366641998
"20150601.tif",6,4.95053601264954
"20150601.tif",7,4.95053601264954
"20150601.tif",8,4.78937196731567
"20150601.tif",9,4.76991701126099
"20150601.tif",10,5.26646852493286
"20150601.tif",11,6.13084769248962
"20150601.tif",12,6.38129901885986
