"date","station_num","pm25"
"20080901.tif",1,24.0706424713135
"20080901.tif",2,22.5624990463257
"20080901.tif",3,21.9713497161865
"20080901.tif",4,22.5840396881104
"20080901.tif",5,22.5166058540344
"20080901.tif",6,22.5624990463257
"20080901.tif",7,22.5624990463257
"20080901.tif",8,23.2193851470947
"20080901.tif",9,24.5734100341797
"20080901.tif",10,24.0706424713135
"20080901.tif",11,23.4125084877014
"20080901.tif",12,23.8956565856934
"20080901.tif",13,23.7034478187561
"20080901.tif",14,22.2357411384583
"20080901.tif",15,24.0454044342041
"20080901.tif",16,23.4955043792725
"20080901.tif",17,23.2805881500244
"20080901.tif",18,22.0898151397705
"20080901.tif",19,22.9194049835205
"20080901.tif",20,22.1475172042847
"20080901.tif",21,23.4955043792725
"20080901.tif",22,24.0304889678955
"20080901.tif",23,23.3870882987976
"20080901.tif",24,23.9931402206421
"20080901.tif",25,24.1493167877197
"20080901.tif",26,23.4996876716614
"20080901.tif",27,23.6465258598328
"20080901.tif",28,23.4955043792725
"20080901.tif",29,22.6881790161133
"20080901.tif",30,21.7816963195801
"20080901.tif",31,24.7492260932922
"20080901.tif",32,22.0007085800171
"20080901.tif",33,22.7184009552002
"20080901.tif",34,23.4955043792725
"20080901.tif",35,25.2429504394531
"20080901.tif",36,23.7034478187561
"20080901.tif",37,23.1118564605713
"20080902.tif",1,17.0322780609131
"20080902.tif",2,15.9190106391907
"20080902.tif",3,17.0662956237793
"20080902.tif",4,16.914975643158
"20080902.tif",5,16.5625829696655
"20080902.tif",6,15.9190106391907
"20080902.tif",7,15.9190106391907
"20080902.tif",8,16.876407623291
"20080902.tif",9,18.7473239898682
"20080902.tif",10,17.0322780609131
"20080902.tif",11,16.7050004005432
"20080902.tif",12,18.6843948364258
"20080902.tif",13,18.5612978935242
"20080902.tif",14,16.5965805053711
"20080902.tif",15,18.5055885314941
"20080902.tif",16,18.2689552307129
"20080902.tif",17,17.1354842185974
"20080902.tif",18,17.0111742019653
"20080902.tif",19,16.449634552002
"20080902.tif",20,15.7523913383484
"20080902.tif",21,18.2689552307129
"20080902.tif",22,19.1591682434082
"20080902.tif",23,18.5332026481628
"20080902.tif",24,17.2215757369995
"20080902.tif",25,17.2903308868408
"20080902.tif",26,18.1427340507507
"20080902.tif",27,18.8612160682678
"20080902.tif",28,18.2689552307129
"20080902.tif",29,16.9548263549805
"20080902.tif",30,16.0780830383301
"20080902.tif",31,19.1373629570007
"20080902.tif",32,16.771146774292
"20080902.tif",33,16.2819385528564
"20080902.tif",34,18.2689552307129
"20080902.tif",35,20.2234764099121
"20080902.tif",36,18.5612978935242
"20080902.tif",37,18.1013336181641
"20080903.tif",1,4.59838390350342
"20080903.tif",2,3.35547459125519
"20080903.tif",3,3.35974526405334
"20080903.tif",4,3.42798072099686
"20080903.tif",5,3.77136421203613
"20080903.tif",6,3.35547459125519
"20080903.tif",7,3.35547459125519
"20080903.tif",8,3.72929739952087
