"date","station_num","pm25"
"20160601.tif",1,3.03203344345093
"20160601.tif",2,2.76393675804138
"20160601.tif",3,1.41152513027191
"20160601.tif",4,1.8503449857235
"20160601.tif",5,1.42252269387245
"20160601.tif",6,2.76393675804138
"20160601.tif",7,2.76393675804138
"20160601.tif",8,1.88281583786011
"20160601.tif",9,3.53954362869263
"20160601.tif",10,3.03203344345093
"20160601.tif",11,2.78117042779922
"20160601.tif",12,2.61184501647949
"20160601.tif",13,2.43417078256607
"20160601.tif",14,1.60439503192902
"20160601.tif",15,3.32510471343994
"20160601.tif",16,3.63549375534058
"20160601.tif",17,2.68937230110168
"20160601.tif",18,2.33527544140816
"20160601.tif",19,2.50888681411743
"20160601.tif",20,3.01305484771729
"20160601.tif",21,3.63549375534058
"20160601.tif",22,2.54721212387085
"20160601.tif",23,2.01630192995071
"20160601.tif",24,2.81662935018539
"20160601.tif",25,2.74930822849274
"20160601.tif",26,2.51870119571686
"20160601.tif",27,2.05366957187653
"20160601.tif",28,3.63549375534058
"20160601.tif",29,2.7921450138092
"20160601.tif",30,1.10119092464447
"20160601.tif",31,3.46957528591156
"20160601.tif",32,1.55381993949413
"20160601.tif",33,2.24394822120667
"20160601.tif",34,3.63549375534058
"20160601.tif",35,3.84709143638611
"20160601.tif",36,2.43417078256607
"20160601.tif",37,1.2002158164978
"20160602.tif",1,4.82597255706787
"20160602.tif",2,4.98173570632935
"20160602.tif",3,3.3781144618988
"20160602.tif",4,3.99590808153152
"20160602.tif",5,4.25528198480606
"20160602.tif",6,4.98173570632935
"20160602.tif",7,4.98173570632935
"20160602.tif",8,4.23261690139771
"20160602.tif",9,4.47140073776245
"20160602.tif",10,4.82597255706787
"20160602.tif",11,4.71886253356934
"20160602.tif",12,4.39431715011597
"20160602.tif",13,4.17075318098068
"20160602.tif",14,4.43672692775726
"20160602.tif",15,4.33921575546265
"20160602.tif",16,4.39025831222534
"20160602.tif",17,4.53407156467438
"20160602.tif",18,3.52387011051178
"20160602.tif",19,4.55415821075439
"20160602.tif",20,4.62062215805054
"20160602.tif",21,4.39025831222534
"20160602.tif",22,4.2535343170166
"20160602.tif",23,3.87919867038727
"20160602.tif",24,4.64417374134064
"20160602.tif",25,4.54198455810547
"20160602.tif",26,4.14672237634659
"20160602.tif",27,4.15687954425812
"20160602.tif",28,4.39025831222534
"20160602.tif",29,5.09996271133423
"20160602.tif",30,3.80145621299744
"20160602.tif",31,4.46136248111725
"20160602.tif",32,4.24490982294083
"20160602.tif",33,4.39318513870239
"20160602.tif",34,4.39025831222534
"20160602.tif",35,4.9242525100708
"20160602.tif",36,4.17075318098068
"20160602.tif",37,3.30769371986389
"20160603.tif",1,5.84487628936768
"20160603.tif",2,5.44983959197998
"20160603.tif",3,4.53583335876465
"20160603.tif",4,4.91566264629364
"20160603.tif",5,4.97964096069336
"20160603.tif",6,5.44983959197998
"20160603.tif",7,5.44983959197998
"20160603.tif",8,4.94039535522461
"20160603.tif",9,5.70600414276123
"20160603.tif",10,5.84487628936768
"20160603.tif",11,5.64210164546967
"20160603.tif",12,5.55035495758057
"20160603.tif",13,5.30600094795227
"20160603.tif",14,4.84566104412079
"20160603.tif",15,5.98926877975464
"20160603.tif",16,5.77679967880249
"20160603.tif",17,5.55944657325745
"20160603.tif",18,5.05481684207916
"20160603.tif",19,5.49755859375
"20160603.tif",20,5.44906997680664
"20160603.tif",21,5.77679967880249
"20160603.tif",22,5.38107061386108
"20160603.tif",23,5.0247585773468
"20160603.tif",24,5.66028559207916
"20160603.tif",25,5.5592622756958
"20160603.tif",26,5.29586565494537
"20160603.tif",27,5.31160306930542
"20160603.tif",28,5.77679967880249
"20160603.tif",29,4.78535318374634
"20160603.tif",30,4.96256542205811
"20160603.tif",31,5.83085000514984
"20160603.tif",32,4.97095310688019
"20160603.tif",33,5.54943227767944
"20160603.tif",34,5.77679967880249
"20160603.tif",35,6.3486909866333
"20160603.tif",36,5.30600094795227
"20160603.tif",37,4.6841139793396
"20160604.tif",1,3.97817254066467
"20160604.tif",2,3.76987338066101
"20160604.tif",3,2.69073510169983
"20160604.tif",4,3.05088663101196
"20160604.tif",5,3.24024593830109
"20160604.tif",6,3.76987338066101
"20160604.tif",7,3.76987338066101
"20160604.tif",8,2.94506216049194
"20160604.tif",9,4.02924203872681
"20160604.tif",10,3.97817254066467
"20160604.tif",11,3.56772875785828
"20160604.tif",12,3.78034138679504
"20160604.tif",13,3.42599016427994
"20160604.tif",14,3.30820399522781
"20160604.tif",15,4.1615047454834
"20160604.tif",16,4.56942129135132
"20160604.tif",17,3.33539181947708
"20160604.tif",18,3.34147989749908
"20160604.tif",19,3.32479810714722
"20160604.tif",20,3.7270781993866
"20160604.tif",21,4.56942129135132
"20160604.tif",22,3.43474531173706
"20160604.tif",23,3.21116191148758
"20160604.tif",24,3.77368772029877
"20160604.tif",25,3.82582354545593
"20160604.tif",26,3.25826811790466
"20160604.tif",27,3.3396355509758
"20160604.tif",28,4.56942129135132
"20160604.tif",29,3.64612221717834
"20160604.tif",30,3.14416098594666
"20160604.tif",31,4.245561003685
"20160604.tif",32,3.43594419956207
"20160604.tif",33,3.09302878379822
"20160604.tif",34,4.56942129135132
"20160604.tif",35,4.45903873443604
"20160604.tif",36,3.42599016427994
"20160604.tif",37,2.60595512390137
"20160605.tif",1,4.8971118927002
"20160605.tif",2,4.44289612770081
"20160605.tif",3,3.24921894073486
"20160605.tif",4,3.93505597114563
"20160605.tif",5,4.14366787672043
"20160605.tif",6,4.44289612770081
"20160605.tif",7,4.44289612770081
"20160605.tif",8,3.80407357215881
"20160605.tif",9,5.1300745010376
"20160605.tif",10,4.8971118927002
"20160605.tif",11,4.94635665416718
"20160605.tif",12,4.41522645950317
"20160605.tif",13,4.14741331338882
"20160605.tif",14,4.09073370695114
"20160605.tif",15,4.77580690383911
"20160605.tif",16,4.633376121521
"20160605.tif",17,4.59882611036301
"20160605.tif",18,3.74027246236801
"20160605.tif",19,4.81883525848389
"20160605.tif",20,4.2216317653656
"20160605.tif",21,4.633376121521
"20160605.tif",22,4.03545379638672
"20160605.tif",23,3.84275913238525
"20160605.tif",24,4.64120000600815
"20160605.tif",25,4.51648020744324
"20160605.tif",26,4.15840673446655
"20160605.tif",27,4.16249334812164
"20160605.tif",28,4.633376121521
"20160605.tif",29,4.43515062332153
"20160605.tif",30,4.16276216506958
"20160605.tif",31,4.82569885253906
"20160605.tif",32,3.9429874420166
"20160605.tif",33,4.72183990478516
"20160605.tif",34,4.633376121521
"20160605.tif",35,5.16625452041626
"20160605.tif",36,4.14741331338882
"20160605.tif",37,3.36151480674744
"20160606.tif",1,3.5656156539917
"20160606.tif",2,3.11327600479126
"20160606.tif",3,2.64128756523132
"20160606.tif",4,2.81744003295898
"20160606.tif",5,2.60360687971115
"20160606.tif",6,3.11327600479126
"20160606.tif",7,3.11327600479126
"20160606.tif",8,2.25774908065796
"20160606.tif",9,3.82189893722534
"20160606.tif",10,3.5656156539917
"20160606.tif",11,3.20804393291473
"20160606.tif",12,3.56649994850159
"20160606.tif",13,3.22611051797867
"20160606.tif",14,2.53209972381592
"20160606.tif",15,3.86372399330139
"20160606.tif",16,4.09918260574341
"20160606.tif",17,3.2353663444519
"20160606.tif",18,3.33952331542969
"20160606.tif",19,3.12352061271667
"20160606.tif",20,3.19668114185333
"20160606.tif",21,4.09918260574341
"20160606.tif",22,3.53945755958557
"20160606.tif",23,3.13367998600006
"20160606.tif",24,3.31694209575653
"20160606.tif",25,3.29100835323334
"20160606.tif",26,3.12211799621582
"20160606.tif",27,3.39839124679565
"20160606.tif",28,4.09918260574341
"20160606.tif",29,2.8753764629364
"20160606.tif",30,2.40087413787842
"20160606.tif",31,4.01004308462143
"20160606.tif",32,2.41269692778587
"20160606.tif",33,2.77930521965027
"20160606.tif",34,4.09918260574341
"20160606.tif",35,4.43678379058838
"20160606.tif",36,3.22611051797867
"20160606.tif",37,2.70699381828308
"20160607.tif",1,4.79337501525879
"20160607.tif",2,4.20297932624817
"20160607.tif",3,3.11627340316772
"20160607.tif",4,3.62405127286911
"20160607.tif",5,3.67299550771713
"20160607.tif",6,4.20297932624817
"20160607.tif",7,4.20297932624817
"20160607.tif",8,3.81812500953674
"20160607.tif",9,4.97956609725952
"20160607.tif",10,4.79337501525879
"20160607.tif",11,5.27845191955566
"20160607.tif",12,4.54832935333252
"20160607.tif",13,4.54351353645325
"20160607.tif",14,3.82928830385208
"20160607.tif",15,4.82290267944336
"20160607.tif",16,5.22588634490967
"20160607.tif",17,5.13684189319611
"20160607.tif",18,3.99206668138504
"20160607.tif",19,5.38833284378052
"20160607.tif",20,4.30791616439819
"20160607.tif",21,5.22588634490967
"20160607.tif",22,4.65658664703369
"20160607.tif",23,4.16401326656342
"20160607.tif",24,4.56585258245468
"20160607.tif",25,4.31577241420746
"20160607.tif",26,4.5651421546936
"20160607.tif",27,4.51429712772369
"20160607.tif",28,5.22588634490967
"20160607.tif",29,3.91626143455505
"20160607.tif",30,3.60881733894348
"20160607.tif",31,4.9864866733551
"20160607.tif",32,3.82254248857498
"20160607.tif",33,5.22119855880737
"20160607.tif",34,5.22588634490967
"20160607.tif",35,5.48499441146851
"20160607.tif",36,4.54351353645325
"20160607.tif",37,3.67254996299744
"20160608.tif",1,5.77258205413818
"20160608.tif",2,5.95546865463257
"20160608.tif",3,4.86590337753296
"20160608.tif",4,5.49731945991516
"20160608.tif",5,5.55316841602325
"20160608.tif",6,5.95546865463257
"20160608.tif",7,5.95546865463257
"20160608.tif",8,5.53354597091675
"20160608.tif",9,5.89370775222778
"20160608.tif",10,5.77258205413818
"20160608.tif",11,5.93749761581421
"20160608.tif",12,5.97123956680298
"20160608.tif",13,5.55213487148285
"20160608.tif",14,5.75768327713013
"20160608.tif",15,5.78304862976074
"20160608.tif",16,5.91988086700439
"20160608.tif",17,5.70660650730133
"20160608.tif",18,4.83238184452057
"20160608.tif",19,5.77888917922974
"20160608.tif",20,5.64735770225525
"20160608.tif",21,5.91988086700439
"20160608.tif",22,5.81455564498901
"20160608.tif",23,5.41418945789337
"20160608.tif",24,5.8170074224472
"20160608.tif",25,5.57940745353699
"20160608.tif",26,5.34930276870728
"20160608.tif",27,5.74698662757874
"20160608.tif",28,5.91988086700439
"20160608.tif",29,5.99077224731445
"20160608.tif",30,5.93766117095947
"20160608.tif",31,5.8985835313797
"20160608.tif",32,5.43964922428131
"20160608.tif",33,5.87755966186523
"20160608.tif",34,5.91988086700439
"20160608.tif",35,6.81520223617554
"20160608.tif",36,5.55213487148285
"20160608.tif",37,5.190269947052
"20160609.tif",1,5.53833484649658
"20160609.tif",2,5.28962182998657
"20160609.tif",3,4.94494104385376
"20160609.tif",4,4.5497978925705
"20160609.tif",5,4.36975395679474
"20160609.tif",6,5.28962182998657
"20160609.tif",7,5.28962182998657
"20160609.tif",8,5.15677213668823
"20160609.tif",9,5.43719577789307
"20160609.tif",10,5.53833484649658
"20160609.tif",11,5.53163635730743
"20160609.tif",12,5.24379014968872
"20160609.tif",13,5.28359293937683
"20160609.tif",14,4.85026299953461
"20160609.tif",15,5.49816513061523
"20160609.tif",16,5.04519939422607
"20160609.tif",17,5.30897033214569
"20160609.tif",18,5.34436726570129
"20160609.tif",19,5.42632675170898
"20160609.tif",20,5.32885956764221
"20160609.tif",21,5.04519939422607
"20160609.tif",22,5.23537158966064
"20160609.tif",23,5.04004645347595
"20160609.tif",24,5.46422052383423
"20160609.tif",25,5.33238101005554
"20160609.tif",26,5.00644147396088
"20160609.tif",27,5.14214026927948
"20160609.tif",28,5.04519939422607
"20160609.tif",29,5.31823205947876
"20160609.tif",30,4.95465755462646
"20160609.tif",31,5.29256951808929
"20160609.tif",32,4.75466370582581
"20160609.tif",33,5.46255159378052
"20160609.tif",34,5.04519939422607
"20160609.tif",35,5.84453725814819
"20160609.tif",36,5.28359293937683
"20160609.tif",37,4.68478679656982
"20160610.tif",1,10.7700710296631
"20160610.tif",2,10.5915431976318
"20160610.tif",3,10.4439973831177
"20160610.tif",4,10.6684536933899
"20160610.tif",5,10.2274954319
"20160610.tif",6,10.5915431976318
"20160610.tif",7,10.5915431976318
"20160610.tif",8,10.7399187088013
"20160610.tif",9,10.8674974441528
"20160610.tif",10,10.7700710296631
"20160610.tif",11,11.2745387554169
"20160610.tif",12,11.3864002227783
"20160610.tif",13,11.0245926380157
