"date","station_num","pm25"
"20050601.tif",1,12.371711730957
"20050601.tif",2,11.6663556098938
"20050601.tif",3,11.1955614089966
"20050601.tif",4,11.6131262779236
"20050601.tif",5,12.1300332546234
"20050601.tif",6,11.6663556098938
"20050601.tif",7,11.6663556098938
"20050601.tif",8,11.2889966964722
"20050601.tif",9,11.3839931488037
"20050601.tif",10,12.371711730957
"20050601.tif",11,11.2558279037476
"20050601.tif",12,11.2698774337769
"20050601.tif",13,11.4025802612305
"20050601.tif",14,11.9970161914825
"20050601.tif",15,11.2467250823975
"20050601.tif",16,11.0858306884766
"20050601.tif",17,11.2100071907043
"20050601.tif",18,11.2175512313843
"20050601.tif",19,11.1005640029907
"20050601.tif",20,11.3757071495056
"20050601.tif",21,11.0858306884766
"20050601.tif",22,11.6378879547119
"20050601.tif",23,11.3287410736084
"20050601.tif",24,12.008722782135
"20050601.tif",25,12.1640043258667
"20050601.tif",26,11.3430576324463
"20050601.tif",27,11.4724869728088
"20050601.tif",28,11.0858306884766
"20050601.tif",29,12.8032732009888
"20050601.tif",30,11.8369588851929
"20050601.tif",31,11.2799611091614
"20050601.tif",32,11.9653844833374
"20050601.tif",33,11.0797967910767
"20050601.tif",34,11.0858306884766
"20050601.tif",35,11.4486351013184
"20050601.tif",36,11.4025802612305
"20050601.tif",37,11.1188850402832
"20050602.tif",1,17.1985492706299
"20050602.tif",2,16.9738311767578
"20050602.tif",3,16.4102058410645
"20050602.tif",4,17.0040278434753
"20050602.tif",5,17.4888477325439
"20050602.tif",6,16.9738311767578
"20050602.tif",7,16.9738311767578
"20050602.tif",8,16.2794857025146
"20050602.tif",9,17.1428928375244
"20050602.tif",10,17.1985492706299
"20050602.tif",11,16.2134897708893
"20050602.tif",12,16.7688331604004
"20050602.tif",13,16.7145819664001
"20050602.tif",14,17.2193222045898
"20050602.tif",15,17.3422393798828
"20050602.tif",16,16.7436275482178
"20050602.tif",17,16.3466863632202
"20050602.tif",18,16.4781613349915
"20050602.tif",19,16.0944175720215
"20050602.tif",20,16.6073560714722
"20050602.tif",21,16.7436275482178
"20050602.tif",22,16.8204517364502
"20050602.tif",23,16.6244840621948
"20050602.tif",24,17.0494899749756
"20050602.tif",25,17.0985269546509
"20050602.tif",26,16.5621213912964
"20050602.tif",27,16.7879257202148
"20050602.tif",28,16.7436275482178
"20050602.tif",29,18.1325721740723
"20050602.tif",30,17.034330368042
"20050602.tif",31,16.858865737915
"20050602.tif",32,16.9021105766296
"20050602.tif",33,16.1270179748535
"20050602.tif",34,16.7436275482178
"20050602.tif",35,17.213451385498
"20050602.tif",36,16.7145819664001
"20050602.tif",37,16.5655250549316
"20050603.tif",1,16.7481517791748
"20050603.tif",2,14.0264444351196
"20050603.tif",3,14.3921194076538
"20050603.tif",4,13.9119877815247
"20050603.tif",5,13.8608009815216
"20050603.tif",6,14.0264444351196
"20050603.tif",7,14.0264444351196
"20050603.tif",8,16.0970916748047
"20050603.tif",9,15.6014461517334
"20050603.tif",10,16.7481517791748
"20050603.tif",11,15.3077561855316
"20050603.tif",12,15.2726430892944
"20050603.tif",13,14.4373281002045
"20050603.tif",14,13.8163197040558
"20050603.tif",15,15.985068321228
"20050603.tif",16,15.5585451126099
"20050603.tif",17,14.8313519954681
"20050603.tif",18,14.4386856555939
"20050603.tif",19,14.9506874084473
"20050603.tif",20,14.1148362159729
"20050603.tif",21,15.5585451126099
"20050603.tif",22,14.4851875305176
"20050603.tif",23,14.2773821353912
"20050603.tif",24,16.823646068573
"20050603.tif",25,16.9591875076294
"20050603.tif",26,14.5889973640442
"20050603.tif",27,14.7327811717987
"20050603.tif",28,15.5585451126099
"20050603.tif",29,14.4603815078735
"20050603.tif",30,13.5629234313965
"20050603.tif",31,15.4965379238129
"20050603.tif",32,13.7896997928619
"20050603.tif",33,14.9579124450684
"20050603.tif",34,15.5585451126099
"20050603.tif",35,15.7787666320801
"20050603.tif",36,14.4373281002045
"20050603.tif",37,14.3625144958496
"20050604.tif",1,12.4082975387573
"20050604.tif",2,11.5096945762634
"20050604.tif",3,11.6660175323486
"20050604.tif",4,11.6535086631775
"20050604.tif",5,11.6153767108917
