"date","station_num","pm25"
"20080201.tif",1,16.505313873291
"20080201.tif",2,14.7201881408691
"20080201.tif",3,14.2387037277222
"20080201.tif",4,15.1976473331451
"20080201.tif",5,15.9297137260437
"20080201.tif",6,14.7201881408691
"20080201.tif",7,14.7201881408691
"20080201.tif",8,15.0172910690308
"20080201.tif",9,17.8144645690918
"20080201.tif",10,16.505313873291
"20080201.tif",11,15.0386710166931
"20080201.tif",12,15.7588300704956
"20080201.tif",13,15.6190102100372
"20080201.tif",14,15.9239449501038
"20080201.tif",15,16.4445114135742
"20080201.tif",16,16.1840572357178
"20080201.tif",17,14.9000017642975
"20080201.tif",18,14.43110871315
"20080201.tif",19,14.2630214691162
"20080201.tif",20,14.5317153930664
"20080201.tif",21,16.1840572357178
"20080201.tif",22,15.3611602783203
"20080201.tif",23,15.441351890564
"20080201.tif",24,16.1546196937561
"20080201.tif",25,16.1813564300537
"20080201.tif",26,15.1426684856415
"20080201.tif",27,15.5004322528839
"20080201.tif",28,16.1840572357178
"20080201.tif",29,16.0764808654785
"20080201.tif",30,15.1145343780518
"20080201.tif",31,17.2275514602661
"20080201.tif",32,15.9924697875977
"20080201.tif",33,14.3285083770752
"20080201.tif",34,16.1840572357178
"20080201.tif",35,16.7799739837646
"20080201.tif",36,15.6190102100372
"20080201.tif",37,15.2217893600464
"20080202.tif",1,26.2153778076172
"20080202.tif",2,23.9513130187988
"20080202.tif",3,22.5729370117188
"20080202.tif",4,25.0966205596924
"20080202.tif",5,26.2975168228149
"20080202.tif",6,23.9513130187988
"20080202.tif",7,23.9513130187988
"20080202.tif",8,23.8738670349121
"20080202.tif",9,27.220645904541
"20080202.tif",10,26.2153778076172
"20080202.tif",11,23.8700656890869
"20080202.tif",12,25.2325992584229
"20080202.tif",13,26.3034315109253
"20080202.tif",14,26.4520897865295
"20080202.tif",15,25.6923580169678
"20080202.tif",16,26.0657997131348
"20080202.tif",17,24.5773100852966
"20080202.tif",18,23.1136283874512
"20080202.tif",19,23.2913856506348
"20080202.tif",20,22.8187570571899
"20080202.tif",21,26.0657997131348
"20080202.tif",22,26.092493057251
"20080202.tif",23,26.0033249855042
"20080202.tif",24,25.532350063324
"20080202.tif",25,25.5217237472534
"20080202.tif",26,25.7893323898315
"20080202.tif",27,25.6977477073669
"20080202.tif",28,26.0657997131348
"20080202.tif",29,26.1244125366211
"20080202.tif",30,25.0443725585938
"20080202.tif",31,26.6812129020691
"20080202.tif",32,26.2834916114807
"20080202.tif",33,23.2763900756836
"20080202.tif",34,26.0657997131348
"20080202.tif",35,26.3710060119629
"20080202.tif",36,26.3034315109253
"20080202.tif",37,25.0823402404785
"20080203.tif",1,41.7754936218262
"20080203.tif",2,35.2335071563721
"20080203.tif",3,37.5944976806641
"20080203.tif",4,37.3022260665894
"20080203.tif",5,37.0193853378296
"20080203.tif",6,35.2335071563721
"20080203.tif",7,35.2335071563721
"20080203.tif",8,39.9122161865234
"20080203.tif",9,41.8889656066895
"20080203.tif",10,41.7754936218262
"20080203.tif",11,40.9561862945557
"20080203.tif",12,40.7051544189453
"20080203.tif",13,41.2826452255249
"20080203.tif",14,36.8546810150146
"20080203.tif",15,41.4987525939941
"20080203.tif",16,40.9425277709961
"20080203.tif",17,41.6831178665161
"20080203.tif",18,38.4128818511963
"20080203.tif",19,41.6496620178223
"20080203.tif",20,35.4121475219727
"20080203.tif",21,40.9425277709961
"20080203.tif",22,42.3444747924805
"20080203.tif",23,40.9881982803345
"20080203.tif",24,41.4697895050049
"20080203.tif",25,41.052640914917
"20080203.tif",26,41.4326972961426
"20080203.tif",27,41.6393880844116
"20080203.tif",28,40.9425277709961
"20080203.tif",29,36.7960891723633
"20080203.tif",30,34.703254699707
"20080203.tif",31,41.5810384750366
"20080203.tif",32,37.7459115982056
"20080203.tif",33,41.1878814697266
"20080203.tif",34,40.9425277709961
"20080203.tif",35,40.0476989746094
"20080203.tif",36,41.2826452255249
"20080203.tif",37,40.1550941467285
"20080204.tif",1,22.1869373321533
"20080204.tif",2,21.4574213027954
"20080204.tif",3,20.9774780273438
"20080204.tif",4,23.1852269172668
"20080204.tif",5,24.5784425735474
"20080204.tif",6,21.4574213027954
"20080204.tif",7,21.4574213027954
"20080204.tif",8,22.4776306152344
"20080204.tif",9,22.1222839355469
"20080204.tif",10,22.1869373321533
"20080204.tif",11,22.0805678367615
"20080204.tif",12,22.6268539428711
"20080204.tif",13,23.8275828361511
"20080204.tif",14,24.3824806213379
"20080204.tif",15,22.014087677002
"20080204.tif",16,21.9309234619141
"20080204.tif",17,22.7876057624817
"20080204.tif",18,21.7238445281982
"20080204.tif",19,22.3294715881348
"20080204.tif",20,21.1214294433594
"20080204.tif",21,21.9309234619141
"20080204.tif",22,24.1045055389404
"20080204.tif",23,23.7535223960876
"20080204.tif",24,22.796236038208
"20080204.tif",25,23.6550016403198
"20080204.tif",26,23.624701499939
"20080204.tif",27,23.6968441009521
"20080204.tif",28,21.9309234619141
"20080204.tif",29,23.2376804351807
"20080204.tif",30,21.929931640625
"20080204.tif",31,22.0758371353149
"20080204.tif",32,25.4625730514526
"20080204.tif",33,22.4580669403076
"20080204.tif",34,21.9309234619141
"20080204.tif",35,21.7328834533691
"20080204.tif",36,23.8275828361511
"20080204.tif",37,23.4038257598877
"20080205.tif",1,15.4245138168335
"20080205.tif",2,13.6729207038879
"20080205.tif",3,13.1443176269531
"20080205.tif",4,13.768580198288
"20080205.tif",5,13.8609976768494
"20080205.tif",6,13.6729207038879
"20080205.tif",7,13.6729207038879
"20080205.tif",8,14.2802562713623
"20080205.tif",9,16.3787326812744
"20080205.tif",10,15.4245138168335
"20080205.tif",11,14.5792496204376
"20080205.tif",12,15.0197305679321
"20080205.tif",13,15.3866624832153
"20080205.tif",14,14.273773431778
"20080205.tif",15,15.4962863922119
"20080205.tif",16,15.4468965530396
"20080205.tif",17,14.6796092987061
"20080205.tif",18,13.7342648506165
"20080205.tif",19,14.1769886016846
"20080205.tif",20,13.4486136436462
"20080205.tif",21,15.4468965530396
"20080205.tif",22,16.1144714355469
"20080205.tif",23,15.3179218769073
"20080205.tif",24,15.3793640136719
"20080205.tif",25,15.5310163497925
"20080205.tif",26,15.0822730064392
"20080205.tif",27,15.7670011520386
"20080205.tif",28,15.4468965530396
"20080205.tif",29,14.6369733810425
"20080205.tif",30,13.8340139389038
"20080205.tif",31,15.9591677188873
"20080205.tif",32,14.011025428772
"20080205.tif",33,14.3228645324707
"20080205.tif",34,15.4468965530396
"20080205.tif",35,15.7020254135132
"20080205.tif",36,15.3866624832153
"20080205.tif",37,14.7263278961182
"20080206.tif",1,8.4689302444458
"20080206.tif",2,7.18415427207947
"20080206.tif",3,7.53408050537109
"20080206.tif",4,7.78970491886139
"20080206.tif",5,8.05957722663879
"20080206.tif",6,7.18415427207947
"20080206.tif",7,7.18415427207947
"20080206.tif",8,8.21254444122314
"20080206.tif",9,9.61818313598633
"20080206.tif",10,8.4689302444458
"20080206.tif",11,8.20670282840729
"20080206.tif",12,8.49098014831543
"20080206.tif",13,8.64306640625
"20080206.tif",14,7.99788105487823
"20080206.tif",15,8.6588020324707
"20080206.tif",16,8.83942317962646
"20080206.tif",17,8.53981876373291
