"date","station_num","pm25"
"20060601.tif",1,6.2570219039917
"20060601.tif",2,5.93321943283081
"20060601.tif",3,4.62567949295044
"20060601.tif",4,5.4422390460968
"20060601.tif",5,6.16688621044159
"20060601.tif",6,5.93321943283081
"20060601.tif",7,5.93321943283081
"20060601.tif",8,5.66460609436035
"20060601.tif",9,5.52105140686035
"20060601.tif",10,6.2570219039917
"20060601.tif",11,5.86155092716217
"20060601.tif",12,5.49817132949829
"20060601.tif",13,5.85033535957336
"20060601.tif",14,6.51741969585419
"20060601.tif",15,5.32911014556885
"20060601.tif",16,5.40320348739624
"20060601.tif",17,5.89366447925568
"20060601.tif",18,4.94117915630341
"20060601.tif",19,5.68309688568115
"20060601.tif",20,5.59893250465393
"20060601.tif",21,5.40320348739624
"20060601.tif",22,5.98736572265625
"20060601.tif",23,5.7854882478714
"20060601.tif",24,6.12808084487915
"20060601.tif",25,6.1469624042511
"20060601.tif",26,5.89100158214569
"20060601.tif",27,5.94291818141937
"20060601.tif",28,5.40320348739624
"20060601.tif",29,7.20366191864014
"20060601.tif",30,6.01372289657593
"20060601.tif",31,5.49084806442261
"20060601.tif",32,6.36547148227692
"20060601.tif",33,5.75626087188721
"20060601.tif",34,5.40320348739624
"20060601.tif",35,5.15323686599731
"20060601.tif",36,5.85033535957336
"20060601.tif",37,5.44855785369873
"20060601.tif",1,6.2570219039917
"20060601.tif",2,5.93321943283081
"20060601.tif",3,4.62567949295044
"20060601.tif",4,5.4422390460968
"20060601.tif",5,6.16688621044159
"20060601.tif",6,5.93321943283081
"20060601.tif",7,5.93321943283081
"20060601.tif",8,5.66460609436035
"20060601.tif",9,5.52105140686035
"20060601.tif",10,6.2570219039917
"20060601.tif",11,5.86155092716217
"20060601.tif",12,5.49817132949829
"20060601.tif",13,5.85033535957336
"20060601.tif",14,6.51741969585419
"20060601.tif",15,5.32911014556885
"20060601.tif",16,5.40320348739624
"20060601.tif",17,5.89366447925568
"20060601.tif",18,4.94117915630341
"20060601.tif",19,5.68309688568115
"20060601.tif",20,5.59893250465393
"20060601.tif",21,5.40320348739624
"20060601.tif",22,5.98736572265625
"20060601.tif",23,5.7854882478714
"20060601.tif",24,6.12808084487915
"20060601.tif",25,6.1469624042511
"20060601.tif",26,5.89100158214569
"20060601.tif",27,5.94291818141937
"20060601.tif",28,5.40320348739624
"20060601.tif",29,7.20366191864014
"20060601.tif",30,6.01372289657593
"20060601.tif",31,5.49084806442261
"20060601.tif",32,6.36547148227692
"20060601.tif",33,5.75626087188721
"20060601.tif",34,5.40320348739624
"20060601.tif",35,5.15323686599731
"20060601.tif",36,5.85033535957336
"20060601.tif",37,5.44855785369873
"20060601.tif",1,6.2570219039917
"20060601.tif",2,5.93321943283081
"20060601.tif",3,4.62567949295044
"20060601.tif",4,5.4422390460968
"20060601.tif",5,6.16688621044159
"20060601.tif",6,5.93321943283081
"20060601.tif",7,5.93321943283081
"20060601.tif",8,5.66460609436035
"20060601.tif",9,5.52105140686035
"20060601.tif",10,6.2570219039917
"20060601.tif",11,5.86155092716217
"20060601.tif",12,5.49817132949829
"20060601.tif",13,5.85033535957336
"20060601.tif",14,6.51741969585419
"20060601.tif",15,5.32911014556885
"20060601.tif",16,5.40320348739624
"20060601.tif",17,5.89366447925568
"20060601.tif",18,4.94117915630341
"20060601.tif",19,5.68309688568115
"20060601.tif",20,5.59893250465393
"20060601.tif",21,5.40320348739624
"20060601.tif",22,5.98736572265625
"20060601.tif",23,5.7854882478714
"20060601.tif",24,6.12808084487915
"20060601.tif",25,6.1469624042511
"20060601.tif",26,5.89100158214569
"20060601.tif",27,5.94291818141937
"20060601.tif",28,5.40320348739624
"20060601.tif",29,7.20366191864014
"20060601.tif",30,6.01372289657593
"20060601.tif",31,5.49084806442261
"20060601.tif",32,6.36547148227692
"20060601.tif",33,5.75626087188721
"20060601.tif",34,5.40320348739624
"20060601.tif",35,5.15323686599731
"20060601.tif",36,5.85033535957336
"20060601.tif",37,5.44855785369873
"20060601.tif",1,6.2570219039917
"20060601.tif",2,5.93321943283081
"20060601.tif",3,4.62567949295044
"20060601.tif",4,5.4422390460968
"20060601.tif",5,6.16688621044159
"20060601.tif",6,5.93321943283081
"20060601.tif",7,5.93321943283081
"20060601.tif",8,5.66460609436035
"20060601.tif",9,5.52105140686035
"20060601.tif",10,6.2570219039917
"20060601.tif",11,5.86155092716217
"20060601.tif",12,5.49817132949829
"20060601.tif",13,5.85033535957336
"20060601.tif",14,6.51741969585419
"20060601.tif",15,5.32911014556885
"20060601.tif",16,5.40320348739624
"20060601.tif",17,5.89366447925568
"20060601.tif",18,4.94117915630341
"20060601.tif",19,5.68309688568115
"20060601.tif",20,5.59893250465393
"20060601.tif",21,5.40320348739624
"20060601.tif",22,5.98736572265625
"20060601.tif",23,5.7854882478714
"20060601.tif",24,6.12808084487915
"20060601.tif",25,6.1469624042511
"20060601.tif",26,5.89100158214569
"20060601.tif",27,5.94291818141937
"20060601.tif",28,5.40320348739624
"20060601.tif",29,7.20366191864014
"20060601.tif",30,6.01372289657593
"20060601.tif",31,5.49084806442261
"20060601.tif",32,6.36547148227692
"20060601.tif",33,5.75626087188721
"20060601.tif",34,5.40320348739624
"20060601.tif",35,5.15323686599731
"20060601.tif",36,5.85033535957336
"20060601.tif",37,5.44855785369873
"20060601.tif",1,6.2570219039917
"20060601.tif",2,5.93321943283081
"20060601.tif",3,4.62567949295044
"20060601.tif",4,5.4422390460968
"20060601.tif",5,6.16688621044159
"20060601.tif",6,5.93321943283081
"20060601.tif",7,5.93321943283081
"20060601.tif",8,5.66460609436035
"20060601.tif",9,5.52105140686035
"20060601.tif",10,6.2570219039917
"20060601.tif",11,5.86155092716217
"20060601.tif",12,5.49817132949829
"20060601.tif",13,5.85033535957336
"20060601.tif",14,6.51741969585419
"20060601.tif",15,5.32911014556885
"20060601.tif",16,5.40320348739624
"20060601.tif",17,5.89366447925568
"20060601.tif",18,4.94117915630341
"20060601.tif",19,5.68309688568115
"20060601.tif",20,5.59893250465393
"20060601.tif",21,5.40320348739624
"20060601.tif",22,5.98736572265625
"20060601.tif",23,5.7854882478714
"20060601.tif",24,6.12808084487915
"20060601.tif",25,6.1469624042511
"20060601.tif",26,5.89100158214569
"20060601.tif",27,5.94291818141937
"20060601.tif",28,5.40320348739624
"20060601.tif",29,7.20366191864014
"20060601.tif",30,6.01372289657593
"20060601.tif",31,5.49084806442261
"20060601.tif",32,6.36547148227692
"20060601.tif",33,5.75626087188721
"20060601.tif",34,5.40320348739624
"20060601.tif",35,5.15323686599731
"20060601.tif",36,5.85033535957336
"20060601.tif",37,5.44855785369873
"20060601.tif",1,6.2570219039917
"20060601.tif",2,5.93321943283081
"20060601.tif",3,4.62567949295044
"20060601.tif",4,5.4422390460968
"20060601.tif",5,6.16688621044159
"20060601.tif",6,5.93321943283081
"20060601.tif",7,5.93321943283081
"20060601.tif",8,5.66460609436035
"20060601.tif",9,5.52105140686035
"20060601.tif",10,6.2570219039917
"20060601.tif",11,5.86155092716217
"20060601.tif",12,5.49817132949829
"20060601.tif",13,5.85033535957336
"20060601.tif",14,6.51741969585419
"20060601.tif",15,5.32911014556885
"20060601.tif",16,5.40320348739624
"20060601.tif",17,5.89366447925568
"20060601.tif",18,4.94117915630341
"20060601.tif",19,5.68309688568115
"20060601.tif",20,5.59893250465393
"20060601.tif",21,5.40320348739624
"20060601.tif",22,5.98736572265625
"20060601.tif",23,5.7854882478714
"20060601.tif",24,6.12808084487915
"20060601.tif",25,6.1469624042511
"20060601.tif",26,5.89100158214569
"20060601.tif",27,5.94291818141937
"20060601.tif",28,5.40320348739624
"20060601.tif",29,7.20366191864014
"20060601.tif",30,6.01372289657593
"20060601.tif",31,5.49084806442261
"20060601.tif",32,6.36547148227692
"20060601.tif",33,5.75626087188721
"20060601.tif",34,5.40320348739624
"20060601.tif",35,5.15323686599731
"20060601.tif",36,5.85033535957336
"20060601.tif",37,5.44855785369873
"20060601.tif",1,6.2570219039917
"20060601.tif",2,5.93321943283081
"20060601.tif",3,4.62567949295044
"20060601.tif",4,5.4422390460968
"20060601.tif",5,6.16688621044159
"20060601.tif",6,5.93321943283081
"20060601.tif",7,5.93321943283081
"20060601.tif",8,5.66460609436035
"20060601.tif",9,5.52105140686035
"20060601.tif",10,6.2570219039917
"20060601.tif",11,5.86155092716217
"20060601.tif",12,5.49817132949829
"20060601.tif",13,5.85033535957336
"20060601.tif",14,6.51741969585419
"20060601.tif",15,5.32911014556885
"20060601.tif",16,5.40320348739624
"20060601.tif",17,5.89366447925568
"20060601.tif",18,4.94117915630341
"20060601.tif",19,5.68309688568115
"20060601.tif",20,5.59893250465393
"20060601.tif",21,5.40320348739624
"20060601.tif",22,5.98736572265625
"20060601.tif",23,5.7854882478714
"20060601.tif",24,6.12808084487915
"20060601.tif",25,6.1469624042511
"20060601.tif",26,5.89100158214569
"20060601.tif",27,5.94291818141937
"20060601.tif",28,5.40320348739624
"20060601.tif",29,7.20366191864014
"20060601.tif",30,6.01372289657593
"20060601.tif",31,5.49084806442261
"20060601.tif",32,6.36547148227692
"20060601.tif",33,5.75626087188721
"20060601.tif",34,5.40320348739624
"20060601.tif",35,5.15323686599731
"20060601.tif",36,5.85033535957336
"20060601.tif",37,5.44855785369873
"20060601.tif",1,6.2570219039917
"20060601.tif",2,5.93321943283081
"20060601.tif",3,4.62567949295044
"20060601.tif",4,5.4422390460968
"20060601.tif",5,6.16688621044159
"20060601.tif",6,5.93321943283081
"20060601.tif",7,5.93321943283081
"20060601.tif",8,5.66460609436035
"20060601.tif",9,5.52105140686035
"20060601.tif",10,6.2570219039917
"20060601.tif",11,5.86155092716217
"20060601.tif",12,5.49817132949829
"20060601.tif",13,5.85033535957336
"20060601.tif",14,6.51741969585419
"20060601.tif",15,5.32911014556885
"20060601.tif",16,5.40320348739624
"20060601.tif",17,5.89366447925568
"20060601.tif",18,4.94117915630341
"20060601.tif",19,5.68309688568115
"20060601.tif",20,5.59893250465393
"20060601.tif",21,5.40320348739624
"20060601.tif",22,5.98736572265625
"20060601.tif",23,5.7854882478714
"20060601.tif",24,6.12808084487915
"20060601.tif",25,6.1469624042511
"20060601.tif",26,5.89100158214569
"20060601.tif",27,5.94291818141937
"20060601.tif",28,5.40320348739624
"20060601.tif",29,7.20366191864014
"20060601.tif",30,6.01372289657593
"20060601.tif",31,5.49084806442261
"20060601.tif",32,6.36547148227692
"20060601.tif",33,5.75626087188721
"20060601.tif",34,5.40320348739624
"20060601.tif",35,5.15323686599731
"20060601.tif",36,5.85033535957336
"20060601.tif",37,5.44855785369873
"20060601.tif",1,6.2570219039917
"20060601.tif",2,5.93321943283081
"20060601.tif",3,4.62567949295044
"20060601.tif",4,5.4422390460968
"20060601.tif",5,6.16688621044159
"20060601.tif",6,5.93321943283081
"20060601.tif",7,5.93321943283081
"20060601.tif",8,5.66460609436035
"20060601.tif",9,5.52105140686035
"20060601.tif",10,6.2570219039917
"20060601.tif",11,5.86155092716217
"20060601.tif",12,5.49817132949829
"20060601.tif",13,5.85033535957336
"20060601.tif",14,6.51741969585419
"20060601.tif",15,5.32911014556885
"20060601.tif",16,5.40320348739624
"20060601.tif",17,5.89366447925568
"20060601.tif",18,4.94117915630341
"20060601.tif",19,5.68309688568115
"20060601.tif",20,5.59893250465393
"20060601.tif",21,5.40320348739624
"20060601.tif",22,5.98736572265625
"20060601.tif",23,5.7854882478714
"20060601.tif",24,6.12808084487915
"20060601.tif",25,6.1469624042511
"20060601.tif",26,5.89100158214569
"20060601.tif",27,5.94291818141937
"20060601.tif",28,5.40320348739624
"20060601.tif",29,7.20366191864014
"20060601.tif",30,6.01372289657593
"20060601.tif",31,5.49084806442261
"20060601.tif",32,6.36547148227692
"20060601.tif",33,5.75626087188721
"20060601.tif",34,5.40320348739624
"20060601.tif",35,5.15323686599731
"20060601.tif",36,5.85033535957336
"20060601.tif",37,5.44855785369873
"20060601.tif",1,6.2570219039917
"20060601.tif",2,5.93321943283081
"20060601.tif",3,4.62567949295044
"20060601.tif",4,5.4422390460968
"20060601.tif",5,6.16688621044159
"20060601.tif",6,5.93321943283081
"20060601.tif",7,5.93321943283081
"20060601.tif",8,5.66460609436035
"20060601.tif",9,5.52105140686035
"20060601.tif",10,6.2570219039917
"20060601.tif",11,5.86155092716217
"20060601.tif",12,5.49817132949829
"20060601.tif",13,5.85033535957336
"20060601.tif",14,6.51741969585419
"20060601.tif",15,5.32911014556885
"20060601.tif",16,5.40320348739624
"20060601.tif",17,5.89366447925568
"20060601.tif",18,4.94117915630341
"20060601.tif",19,5.68309688568115
"20060601.tif",20,5.59893250465393
"20060601.tif",21,5.40320348739624
"20060601.tif",22,5.98736572265625
"20060601.tif",23,5.7854882478714
"20060601.tif",24,6.12808084487915
"20060601.tif",25,6.1469624042511
"20060601.tif",26,5.89100158214569
"20060601.tif",27,5.94291818141937
"20060601.tif",28,5.40320348739624
"20060601.tif",29,7.20366191864014
"20060601.tif",30,6.01372289657593
"20060601.tif",31,5.49084806442261
"20060601.tif",32,6.36547148227692
"20060601.tif",33,5.75626087188721
"20060601.tif",34,5.40320348739624
"20060601.tif",35,5.15323686599731
"20060601.tif",36,5.85033535957336
"20060601.tif",37,5.44855785369873
"20060601.tif",1,6.2570219039917
"20060601.tif",2,5.93321943283081
"20060601.tif",3,4.62567949295044
"20060601.tif",4,5.4422390460968
"20060601.tif",5,6.16688621044159
"20060601.tif",6,5.93321943283081
"20060601.tif",7,5.93321943283081
"20060601.tif",8,5.66460609436035
"20060601.tif",9,5.52105140686035
"20060601.tif",10,6.2570219039917
"20060601.tif",11,5.86155092716217
"20060601.tif",12,5.49817132949829
"20060601.tif",13,5.85033535957336
"20060601.tif",14,6.51741969585419
"20060601.tif",15,5.32911014556885
"20060601.tif",16,5.40320348739624
"20060601.tif",17,5.89366447925568
"20060601.tif",18,4.94117915630341
"20060601.tif",19,5.68309688568115
"20060601.tif",20,5.59893250465393
"20060601.tif",21,5.40320348739624
"20060601.tif",22,5.98736572265625
"20060601.tif",23,5.7854882478714
"20060601.tif",24,6.12808084487915
"20060601.tif",25,6.1469624042511
"20060601.tif",26,5.89100158214569
"20060601.tif",27,5.94291818141937
"20060601.tif",28,5.40320348739624
"20060601.tif",29,7.20366191864014
"20060601.tif",30,6.01372289657593
"20060601.tif",31,5.49084806442261
"20060601.tif",32,6.36547148227692
"20060601.tif",33,5.75626087188721
"20060601.tif",34,5.40320348739624
"20060601.tif",35,5.15323686599731
"20060601.tif",36,5.85033535957336
"20060601.tif",37,5.44855785369873
"20060601.tif",1,6.2570219039917
"20060601.tif",2,5.93321943283081
"20060601.tif",3,4.62567949295044
"20060601.tif",4,5.4422390460968
"20060601.tif",5,6.16688621044159
"20060601.tif",6,5.93321943283081
"20060601.tif",7,5.93321943283081
"20060601.tif",8,5.66460609436035
"20060601.tif",9,5.52105140686035
"20060601.tif",10,6.2570219039917
"20060601.tif",11,5.86155092716217
"20060601.tif",12,5.49817132949829
"20060601.tif",13,5.85033535957336
"20060601.tif",14,6.51741969585419
"20060601.tif",15,5.32911014556885
"20060601.tif",16,5.40320348739624
"20060601.tif",17,5.89366447925568
"20060601.tif",18,4.94117915630341
"20060601.tif",19,5.68309688568115
"20060601.tif",20,5.59893250465393
"20060601.tif",21,5.40320348739624
"20060601.tif",22,5.98736572265625
"20060601.tif",23,5.7854882478714
"20060601.tif",24,6.12808084487915
"20060601.tif",25,6.1469624042511
"20060601.tif",26,5.89100158214569
