"date","station_num","pm25"
"20000901.tif",1,4.49295997619629
"20000901.tif",2,4.89314794540405
"20000901.tif",3,4.64582061767578
"20000901.tif",4,4.91856265068054
"20000901.tif",5,5.04104626178741
"20000901.tif",6,4.89314794540405
"20000901.tif",7,4.89314794540405
"20000901.tif",8,4.55099439620972
"20000901.tif",9,4.24710512161255
"20000901.tif",10,4.49295997619629
"20000901.tif",11,4.58474552631378
"20000901.tif",12,4.74354553222656
"20000901.tif",13,5.10734593868256
"20000901.tif",14,5.18835473060608
"20000901.tif",15,4.46504640579224
"20000901.tif",16,3.8746862411499
"20000901.tif",17,4.78591275215149
"20000901.tif",18,5.0684757232666
"20000901.tif",19,4.75797843933105
"20000901.tif",20,5.14026188850403
"20000901.tif",21,3.8746862411499
"20000901.tif",22,5.93894100189209
"20000901.tif",23,5.17661285400391
"20000901.tif",24,4.63064301013947
"20000901.tif",25,4.73704695701599
"20000901.tif",26,5.09204137325287
"20000901.tif",27,5.53226637840271
"20000901.tif",28,3.8746862411499
"20000901.tif",29,5.76787853240967
"20000901.tif",30,4.76451253890991
"20000901.tif",31,4.11683964729309
"20000901.tif",32,5.15654313564301
"20000901.tif",33,4.73526620864868
"20000901.tif",34,3.8746862411499
"20000901.tif",35,4.23991632461548
"20000901.tif",36,5.10734593868256
"20000901.tif",37,4.91779899597168
"20000901.tif",1,4.49295997619629
"20000901.tif",2,4.89314794540405
"20000901.tif",3,4.64582061767578
"20000901.tif",4,4.91856265068054
"20000901.tif",5,5.04104626178741
"20000901.tif",6,4.89314794540405
"20000901.tif",7,4.89314794540405
"20000901.tif",8,4.55099439620972
"20000901.tif",9,4.24710512161255
"20000901.tif",10,4.49295997619629
"20000901.tif",11,4.58474552631378
"20000901.tif",12,4.74354553222656
"20000901.tif",13,5.10734593868256
"20000901.tif",14,5.18835473060608
"20000901.tif",15,4.46504640579224
"20000901.tif",16,3.8746862411499
"20000901.tif",17,4.78591275215149
"20000901.tif",18,5.0684757232666
"20000901.tif",19,4.75797843933105
"20000901.tif",20,5.14026188850403
"20000901.tif",21,3.8746862411499
"20000901.tif",22,5.93894100189209
"20000901.tif",23,5.17661285400391
"20000901.tif",24,4.63064301013947
"20000901.tif",25,4.73704695701599
"20000901.tif",26,5.09204137325287
"20000901.tif",27,5.53226637840271
"20000901.tif",28,3.8746862411499
"20000901.tif",29,5.76787853240967
"20000901.tif",30,4.76451253890991
"20000901.tif",31,4.11683964729309
"20000901.tif",32,5.15654313564301
"20000901.tif",33,4.73526620864868
"20000901.tif",34,3.8746862411499
"20000901.tif",35,4.23991632461548
"20000901.tif",36,5.10734593868256
"20000901.tif",37,4.91779899597168
"20000901.tif",1,4.49295997619629
"20000901.tif",2,4.89314794540405
"20000901.tif",3,4.64582061767578
"20000901.tif",4,4.91856265068054
"20000901.tif",5,5.04104626178741
"20000901.tif",6,4.89314794540405
"20000901.tif",7,4.89314794540405
"20000901.tif",8,4.55099439620972
"20000901.tif",9,4.24710512161255
"20000901.tif",10,4.49295997619629
"20000901.tif",11,4.58474552631378
"20000901.tif",12,4.74354553222656
"20000901.tif",13,5.10734593868256
"20000901.tif",14,5.18835473060608
"20000901.tif",15,4.46504640579224
"20000901.tif",16,3.8746862411499
"20000901.tif",17,4.78591275215149
"20000901.tif",18,5.0684757232666
"20000901.tif",19,4.75797843933105
"20000901.tif",20,5.14026188850403
"20000901.tif",21,3.8746862411499
"20000901.tif",22,5.93894100189209
"20000901.tif",23,5.17661285400391
"20000901.tif",24,4.63064301013947
"20000901.tif",25,4.73704695701599
"20000901.tif",26,5.09204137325287
"20000901.tif",27,5.53226637840271
